,news_id,category,sub_category,title,abstract,url,title_entities,abstract_entitites
47,N41387,tv,tv-gallery,Can you answer these real Jeopardy questions about TV shows?,"Culling data straight from the ""Jeopardy!"" archives, Stacker will provide a ""clue"" about TV shows and then present the answer in the form of a question on the following slide. Can you answer these real ""Jeopardy!"" questions about TV shows?",https://assets.msn.com/labs/mind/AABs6Gq.html,"[{""Label"": ""Jeopardy!"", ""Type"": ""W"", ""WikidataId"": ""Q499767"", ""Confidence"": 0.985, ""OccurrenceOffsets"": [26], ""SurfaceForms"": [""Jeopardy""]}]","[{""Label"": ""Jeopardy!"", ""Type"": ""W"", ""WikidataId"": ""Q499767"", ""Confidence"": 0.985, ""OccurrenceOffsets"": [32, 203], ""SurfaceForms"": [""Jeopardy"", ""Jeopardy""]}]"
268,N30344,lifestyle,lifestylebuzz,Snakehead fish that survives on land was discovered in Georgia. Officials want it dead,An invasive fish species that can breathe air and survive on land has been found in Georgia for the first time. And officials are warning anyone who comes into contact with the species to kill it immediately.,https://assets.msn.com/labs/mind/AAIzlnB.html,"[{""Label"": ""Georgia (U.S. state)"", ""Type"": ""G"", ""WikidataId"": ""Q1428"", ""Confidence"": 0.972, ""OccurrenceOffsets"": [55], ""SurfaceForms"": [""Georgia""]}]","[{""Label"": ""Georgia (U.S. state)"", ""Type"": ""G"", ""WikidataId"": ""Q1428"", ""Confidence"": 0.972, ""OccurrenceOffsets"": [84], ""SurfaceForms"": [""Georgia""]}]"
375,N50299,tv,tv-celebrity,Kelly Ripa responds to backlash over son in 'extreme poverty' joke,"Kelly RIpa is defending a joke she made about her son on ""Jimmy Kimmel Live!""",https://assets.msn.com/labs/mind/AAJfUQq.html,"[{""Label"": ""Kelly Ripa"", ""Type"": ""P"", ""WikidataId"": ""Q1148035"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Kelly Ripa""]}]","[{""Label"": ""Kelly Ripa"", ""Type"": ""P"", ""WikidataId"": ""Q1148035"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Kelly RIpa""]}]"
764,N1644,travel,traveltips,8 Secret Spots You Never Knew Existed in Disney Parks,Make your next trip even more magical.,https://assets.msn.com/labs/mind/AACrqlJ.html,"[{""Label"": ""Disney Parks, Experiences and Products"", ""Type"": ""N"", ""WikidataId"": ""Q1431781"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [41], ""SurfaceForms"": [""Disney Parks""]}]",[]
919,N54822,health,nutrition,"If You Don't Eat a Banana Every Day, This Might Convince You to Start","An apple a day keeps the doctor away? Not so much. Try this fruit, instead.",https://assets.msn.com/labs/mind/AAHyq1v.html,[],[]
982,N52474,lifestyle,lifestylecelebstyle,40 Celebrities You Forgot Used to Rock Long Hair,"Long hair, don't care.",https://assets.msn.com/labs/mind/AAHAx22.html,"[{""Label"": ""Long hair"", ""Type"": ""C"", ""WikidataId"": ""Q14130"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [39], ""SurfaceForms"": [""Long Hair""]}, {""Label"": ""Rock music"", ""Type"": ""B"", ""WikidataId"": ""Q11399"", ""Confidence"": 0.981, ""OccurrenceOffsets"": [34], ""SurfaceForms"": [""Rock""]}]","[{""Label"": ""Long hair"", ""Type"": ""C"", ""WikidataId"": ""Q14130"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Long hair""]}]"
1345,N20770,lifestyle,lifestylecelebstyle,You'll Be Captivated by Ciara's Best Hair and Makeup Looks,"Ciara has been one of our beauty crushes since she released her hit ""Goodies"" in 2004, but in the past few years, she's been responsible for some seriously head-turning hair and makeup looks.",https://assets.msn.com/labs/mind/AAHBhNR.html,"[{""Label"": ""Ciara"", ""Type"": ""P"", ""WikidataId"": ""Q203223"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [24], ""SurfaceForms"": [""Ciara""]}]","[{""Label"": ""Ciara"", ""Type"": ""P"", ""WikidataId"": ""Q203223"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Ciara""]}, {""Label"": ""Goodies (song)"", ""Type"": ""W"", ""WikidataId"": ""Q960371"", ""Confidence"": 0.901, ""OccurrenceOffsets"": [69], ""SurfaceForms"": [""Goodies""]}]"
1468,N22161,music,musicnews,"TobyMac says late son 'had an untamable grand personality,' shares last text exchange","TobyMac's 21-year-old son, Truett Foster McKeean, died Wednesday in Nashville. The Christian star released a statement Thursday on the sudden death.",https://assets.msn.com/labs/mind/AAJl8ee.html,"[{""Label"": ""TobyMac"", ""Type"": ""P"", ""WikidataId"": ""Q364884"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""TobyMac""]}]","[{""Label"": ""TobyMac"", ""Type"": ""P"", ""WikidataId"": ""Q364884"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""TobyMac""]}, {""Label"": ""Nashville, Tennessee"", ""Type"": ""G"", ""WikidataId"": ""Q23197"", ""Confidence"": 0.998, ""OccurrenceOffsets"": [68], ""SurfaceForms"": [""Nashville""]}]"
1741,N61588,lifestyle,voices,My Dad Didn't Raise Me To Be a Boy   He Raised Me To Be a Confident Girl,,https://assets.msn.com/labs/mind/AAI5nh4.html,[],[]
1921,N60577,autos,autosclassics,Super-Rare 1976 Ferrari 308 GTB Vetroresina Selling For Under $200K,This is believed to be the lowest-sequence VIN of the U.S.-sold Vetroresinas!,https://assets.msn.com/labs/mind/AAEq0e7.html,"[{""Label"": ""Ferrari 308 GTB/GTS"", ""Type"": ""V"", ""WikidataId"": ""Q1407659"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [16], ""SurfaceForms"": [""Ferrari 308 GTB""]}]",[]
