user_id,preds,pred_1,pred_2,pred_3,pred_4,pred_5
U27158,"['N64174', 'N23877', 'N48017', 'N9623', 'N50872']",N64174,N23877,N48017,N9623,N50872
U60170,"['N38779', 'N23446', 'N45523', 'N25165', 'N45734']",N38779,N23446,N45523,N25165,N45734
U40758,"['N23446', 'N40109', 'N38779', 'N62318', 'N34185']",N23446,N40109,N38779,N62318,N34185
U60555,"['N23446', 'N23877', 'N38779', 'N6477', 'N45523']",N23446,N23877,N38779,N6477,N45523
U57993,"['N23446', 'N57733', 'N47652', 'N38779', 'N45523']",N23446,N57733,N47652,N38779,N45523
U56102,"['N38779', 'N40109', 'N45523', 'N57032', 'N19661']",N38779,N40109,N45523,N57032,N19661
U27517,"['N23877', 'N23446', 'N38779', 'N51570', 'N40109']",N23877,N23446,N38779,N51570,N40109
U84528,"['N38779', 'N50872', 'N19661', 'N47652', 'N34185']",N38779,N50872,N19661,N47652,N34185
U68330,"['N56211', 'N52867', 'N41934', 'N61740', 'N48487']",N56211,N52867,N41934,N61740,N48487
U88721,"['N19661', 'N42515', 'N41934', 'N53031', 'N39149']",N19661,N42515,N41934,N53031,N39149
U89104,"['N23446', 'N50872', 'N23877', 'N45523', 'N6578']",N23446,N50872,N23877,N45523,N6578
U40275,"['N23877', 'N23446', 'N50872', 'N49712', 'N48017']",N23877,N23446,N50872,N49712,N48017
U89508,"['N64174', 'N23877', 'N48017', 'N9623', 'N50872']",N64174,N23877,N48017,N9623,N50872
U58683,"['N38779', 'N50872', 'N1539', 'N62318', 'N34185']",N38779,N50872,N1539,N62318,N34185
U75191,"['N23877', 'N23446', 'N50872', 'N49712', 'N48017']",N23877,N23446,N50872,N49712,N48017
U26384,"['N23877', 'N23446', 'N49712', 'N50872', 'N38779']",N23877,N23446,N49712,N50872,N38779
U18570,"['N45523', 'N52867', 'N1031', 'N16118', 'N56211']",N45523,N52867,N1031,N16118,N56211
U79386,"['N45523', 'N19661', 'N52867', 'N56211', 'N47652']",N45523,N19661,N52867,N56211,N47652
U81060,"['N23877', 'N23446', 'N40109', 'N38779', 'N6477']",N23877,N23446,N40109,N38779,N6477
U85397,"['N56211', 'N52867', 'N41934', 'N27737', 'N61233']",N56211,N52867,N41934,N27737,N61233
U9013,"['N49712', 'N23877', 'N40109', 'N46821', 'N64174']",N49712,N23877,N40109,N46821,N64174
U14690,"['N6837', 'N21077', 'N7494', 'N42515', 'N33828']",N6837,N21077,N7494,N42515,N33828
U5685,"['N23877', 'N23446', 'N38779', 'N29212', 'N6477']",N23877,N23446,N38779,N29212,N6477
U75810,"['N56211', 'N41934', 'N48487', 'N61740', 'N61233']",N56211,N41934,N48487,N61740,N61233
U5264,"['N23446', 'N23877', 'N38779', 'N45523', 'N50872']",N23446,N23877,N38779,N45523,N50872
U48508,"['N23877', 'N48017', 'N23446', 'N38779', 'N51570']",N23877,N48017,N23446,N38779,N51570
U48872,"['N23877', 'N23446', 'N38779', 'N40109', 'N44698']",N23877,N23446,N38779,N40109,N44698
U28753,"['N52867', 'N45523', 'N1031', 'N56211', 'N27737']",N52867,N45523,N1031,N56211,N27737
U9517,"['N38779', 'N40109', 'N50872', 'N34185', 'N35815']",N38779,N40109,N50872,N34185,N35815
U67137,"['N23446', 'N38779', 'N50872', 'N45523', 'N6578']",N23446,N38779,N50872,N45523,N6578
U2470,"['N23446', 'N38779', 'N40109', 'N25165', 'N6477']",N23446,N38779,N40109,N25165,N6477
U29867,"['N19661', 'N40109', 'N57032', 'N1228', 'N27737']",N19661,N40109,N57032,N1228,N27737
U65420,"['N23446', 'N50872', 'N38779', 'N45523', 'N35815']",N23446,N50872,N38779,N45523,N35815
U63096,"['N19661', 'N47652', 'N53031', 'N56211', 'N42515']",N19661,N47652,N53031,N56211,N42515
U84935,"['N23446', 'N50872', 'N45523', 'N38779', 'N25165']",N23446,N50872,N45523,N38779,N25165
U89158,"['N23814', 'N38779', 'N50872', 'N19661', 'N62318']",N23814,N38779,N50872,N19661,N62318
U47325,"['N23877', 'N48017', 'N23446', 'N38779', 'N50872']",N23877,N48017,N23446,N38779,N50872
U62321,"['N23877', 'N38779', 'N50872', 'N6578', 'N1539']",N23877,N38779,N50872,N6578,N1539
U47405,"['N23446', 'N23877', 'N50872', 'N38779', 'N51570']",N23446,N23877,N50872,N38779,N51570
U13488,"['N42515', 'N19661', 'N47652', 'N56211', 'N27737']",N42515,N19661,N47652,N56211,N27737
U83552,"['N38779', 'N50872', 'N1539', 'N19661', 'N20270']",N38779,N50872,N1539,N19661,N20270
U35861,"['N23877', 'N23446', 'N38779', 'N55488', 'N6477']",N23877,N23446,N38779,N55488,N6477
U59110,"['N23446', 'N38779', 'N50872', 'N45523', 'N45734']",N23446,N38779,N50872,N45523,N45734
U18205,"['N64174', 'N23877', 'N48017', 'N8015', 'N50872']",N64174,N23877,N48017,N8015,N50872
U23043,"['N64174', 'N23877', 'N48017', 'N9623', 'N50872']",N64174,N23877,N48017,N9623,N50872
U45974,"['N23877', 'N23446', 'N49712', 'N50872', 'N36226']",N23877,N23446,N49712,N50872,N36226
U18375,"['N64174', 'N23877', 'N48017', 'N9623', 'N40109']",N64174,N23877,N48017,N9623,N40109
U24990,"['N57032', 'N19661', 'N59267', 'N1228', 'N26537']",N57032,N19661,N59267,N1228,N26537
U22614,"['N56211', 'N52867', 'N41934', 'N48487', 'N21484']",N56211,N52867,N41934,N48487,N21484
U10660,"['N38779', 'N34185', 'N62318', 'N1228', 'N8711']",N38779,N34185,N62318,N1228,N8711
U92683,"['N23877', 'N23446', 'N38779', 'N47098', 'N50872']",N23877,N23446,N38779,N47098,N50872
U46452,"['N23446', 'N40109', 'N45523', 'N6578', 'N29212']",N23446,N40109,N45523,N6578,N29212
U69594,"['N45523', 'N52867', 'N56211', 'N29735', 'N27737']",N45523,N52867,N56211,N29735,N27737
U27045,"['N19661', 'N38779', 'N57032', 'N62318', 'N34185']",N19661,N38779,N57032,N62318,N34185
U18947,"['N23446', 'N38779', 'N62318', 'N34185', 'N1539']",N23446,N38779,N62318,N34185,N1539
U19701,"['N23877', 'N23446', 'N40109', 'N50872', 'N38779']",N23877,N23446,N40109,N50872,N38779
U38946,"['N23877', 'N23446', 'N40109', 'N38779', 'N51570']",N23877,N23446,N40109,N38779,N51570
U71562,"['N23877', 'N23446', 'N40109', 'N51570', 'N38779']",N23877,N23446,N40109,N51570,N38779
U63529,"['N23446', 'N38779', 'N62318', 'N6578', 'N6477']",N23446,N38779,N62318,N6578,N6477
U62140,"['N42515', 'N19661', 'N41934', 'N61233', 'N1228']",N42515,N19661,N41934,N61233,N1228
U22835,"['N23446', 'N38779', 'N62318', 'N6578', 'N1539']",N23446,N38779,N62318,N6578,N1539
U52149,"['N23446', 'N23877', 'N40109', 'N50872', 'N38779']",N23446,N23877,N40109,N50872,N38779
U29418,"['N16439', 'N40109', 'N47572', 'N14809', 'N6388']",N16439,N40109,N47572,N14809,N6388
U25666,"['N45523', 'N52867', 'N7494', 'N56211', 'N33828']",N45523,N52867,N7494,N56211,N33828
U37369,"['N23446', 'N23877', 'N40109', 'N50872', 'N38779']",N23446,N23877,N40109,N50872,N38779
U6871,"['N19661', 'N42515', 'N33828', 'N14478', 'N47652']",N19661,N42515,N33828,N14478,N47652
U54018,"['N64174', 'N23877', 'N48017', 'N40109', 'N8015']",N64174,N23877,N48017,N40109,N8015
