user_id,preds,pred_1,pred_2,pred_3,pred_4,pred_5
U9556,"['N35729', 'N55689', 'N61214', 'N59981', 'N42961']",N35729,N55689,N61214,N59981,N42961
U79175,"['N51398', 'N39115', 'N37108', 'N5889', 'N5957']",N51398,N39115,N37108,N5889,N5957
U54278,"['N36789', 'N62360', 'N14184', 'N32544', 'N49180']",N36789,N62360,N14184,N32544,N49180
U36792,"['N2350', 'N54489', 'N60612', 'N23081', 'N16920']",N2350,N54489,N60612,N23081,N16920
U88719,"['N33619', 'N62360', 'N50675', 'N49180', 'N63970']",N33619,N62360,N50675,N49180,N63970
U63623,"['N42977', 'N45266', 'N20076', 'N35170', 'N62128']",N42977,N45266,N20076,N35170,N62128
U6798,"['N50675', 'N48046', 'N35729', 'N52122', 'N33619']",N50675,N48046,N35729,N52122,N33619
U89568,"['N39317', 'N42977', 'N45704', 'N20495', 'N27560']",N39317,N42977,N45704,N20495,N27560
U26916,"['N33619', 'N39317', 'N62360', 'N41354', 'N31947']",N33619,N39317,N62360,N41354,N31947
U85681,"['N35729', 'N38779', 'N21707', 'N1539', 'N55689']",N35729,N38779,N21707,N1539,N55689
U16560,"['N55689', 'N21707', 'N55204', 'N59981', 'N53585']",N55689,N21707,N55204,N59981,N53585
U30181,"['N51398', 'N39115', 'N5957', 'N5889', 'N41178']",N51398,N39115,N5957,N5889,N41178
U73811,"['N23877', 'N49712', 'N48017', 'N23446', 'N38779']",N23877,N49712,N48017,N23446,N38779
U93463,"['N39010', 'N12377', 'N36184', 'N287', 'N51048']",N39010,N12377,N36184,N287,N51048
U33965,"['N21882', 'N14520', 'N61022', 'N26706', 'N53245']",N21882,N14520,N61022,N26706,N53245
U8833,"['N23877', 'N18522', 'N11257', 'N64174', 'N38779']",N23877,N18522,N11257,N64174,N38779
U68724,"['N6099', 'N40725', 'N35729', 'N21707', 'N52622']",N6099,N40725,N35729,N21707,N52622
U75450,"['N2350', 'N21882', 'N64009', 'N56598', 'N54489']",N2350,N21882,N64009,N56598,N54489
U39024,"['N35729', 'N21707', 'N7809', 'N63550', 'N55689']",N35729,N21707,N7809,N63550,N55689
U91041,"['N39010', 'N287', 'N51048', 'N59673', 'N34876']",N39010,N287,N51048,N59673,N34876
U7166,"['N39010', 'N51048', 'N287', 'N26025', 'N59673']",N39010,N51048,N287,N26025,N59673
U27916,"['N33619', 'N14184', 'N62360', 'N49180', 'N63970']",N33619,N14184,N62360,N49180,N63970
U13035,"['N46029', 'N2350', 'N54489', 'N58410', 'N55204']",N46029,N2350,N54489,N58410,N55204
U35908,"['N31370', 'N45389', 'N166', 'N62360', 'N47096']",N31370,N45389,N166,N62360,N47096
U81464,"['N35729', 'N33619', 'N62360', 'N50675', 'N52122']",N35729,N33619,N62360,N50675,N52122
U47748,"['N28495', 'N64152', 'N20041', 'N14184', 'N54489']",N28495,N64152,N20041,N14184,N54489
U64616,"['N41921', 'N1289', 'N13105', 'N42977', 'N20915']",N41921,N1289,N13105,N42977,N20915
U10731,"['N64096', 'N42977', 'N20495', 'N33885', 'N17059']",N64096,N42977,N20495,N33885,N17059
U20454,"['N21707', 'N40725', 'N60872', 'N43502', 'N59981']",N21707,N40725,N60872,N43502,N59981
U53090,"['N46690', 'N3339', 'N3161', 'N39471', 'N30098']",N46690,N3339,N3161,N39471,N30098
U12509,"['N64009', 'N555', 'N22457', 'N60932', 'N27079']",N64009,N555,N22457,N60932,N27079
U52602,"['N42515', 'N42977', 'N19661', 'N57032', 'N40109']",N42515,N42977,N19661,N57032,N40109
U36447,"['N39010', 'N51048', 'N64094', 'N53470', 'N11551']",N39010,N51048,N64094,N53470,N11551
U31003,"['N23877', 'N46821', 'N64174', 'N29739', 'N16844']",N23877,N46821,N64174,N29739,N16844
U91571,"['N659', 'N51220', 'N38779', 'N25165', 'N32759']",N659,N51220,N38779,N25165,N32759
U25823,"['N63478', 'N54489', 'N58660', 'N56193', 'N16809']",N63478,N54489,N58660,N56193,N16809
U22845,"['N16463', 'N16096', 'N64851', 'N39317', 'N62386']",N16463,N16096,N64851,N39317,N62386
U39900,"['N51048', 'N45266', 'N287', 'N59673', 'N34876']",N51048,N45266,N287,N59673,N34876
