user_id,preds,pred_1,pred_2,pred_3,pred_4,pred_5
U57255,"['N64037', 'N46917', 'N60750', 'N22975', 'N50055']",N64037,N46917,N60750,N22975,N50055
U66830,"['N62318', 'N19661', 'N40109', 'N50872', 'N34185']",N62318,N19661,N40109,N50872,N34185
U25497,"['N41934', 'N61233', 'N56211', 'N14478', 'N27737']",N41934,N61233,N56211,N14478,N27737
U27158,"['N50872', 'N9623', 'N48017', 'N8015', 'N64174']",N50872,N9623,N48017,N8015,N64174
U89637,"['N23446', 'N50872', 'N6477', 'N29212', 'N38779']",N23446,N50872,N6477,N29212,N38779
U9318,"['N40109', 'N50872', 'N38779', 'N36226', 'N47098']",N40109,N50872,N38779,N36226,N47098
U24208,"['N6578', 'N38779', 'N6477', 'N23446', 'N29212']",N6578,N38779,N6477,N23446,N29212
U60170,"['N38779', 'N23446', 'N25165', 'N29212', 'N45523']",N38779,N23446,N25165,N29212,N45523
U16871,"['N33828', 'N47652', 'N61233', 'N14478', 'N41934']",N33828,N47652,N61233,N14478,N41934
U40758,"['N62318', 'N23446', 'N34185', 'N50872', 'N38779']",N62318,N23446,N34185,N50872,N38779
U60555,"['N23446', 'N23877', 'N38779', 'N45523', 'N6477']",N23446,N23877,N38779,N45523,N6477
U81018,"['N1539', 'N45523', 'N50872', 'N23446', 'N40109']",N1539,N45523,N50872,N23446,N40109
U49404,"['N38779', 'N23446', 'N1539', 'N50872', 'N40109']",N38779,N23446,N1539,N50872,N40109
U57993,"['N57733', 'N47652', 'N62318', 'N38779', 'N1539']",N57733,N47652,N62318,N38779,N1539
U27572,"['N1228', 'N19661', 'N59267', 'N50872', 'N57032']",N1228,N19661,N59267,N50872,N57032
U58321,"['N19661', 'N41934', 'N33828', 'N14478', 'N61233']",N19661,N41934,N33828,N14478,N61233
U28679,"['N56211', 'N27737', 'N41934', 'N61233', 'N52867']",N56211,N27737,N41934,N61233,N52867
U56102,"['N19661', 'N62318', 'N57032', 'N38779', 'N34185']",N19661,N62318,N57032,N38779,N34185
U71839,"['N38779', 'N40109', 'N23446', 'N29212', 'N47098']",N38779,N40109,N23446,N29212,N47098
U27517,"['N38779', 'N23446', 'N51570', 'N23877', 'N50872']",N38779,N23446,N51570,N23877,N50872
U84528,"['N19661', 'N34185', 'N38779', 'N47652', 'N50872']",N19661,N34185,N38779,N47652,N50872
U68330,"['N61740', 'N48487', 'N56211', 'N52867', 'N41934']",N61740,N48487,N56211,N52867,N41934
U10504,"['N34185', 'N62318', 'N50872', 'N1539', 'N38779']",N34185,N62318,N50872,N1539,N38779
U88721,"['N33828', 'N14478', 'N19661', 'N53031', 'N42515']",N33828,N14478,N19661,N53031,N42515
U89104,"['N50872', 'N45523', 'N23446', 'N1539', 'N29212']",N50872,N45523,N23446,N1539,N29212
U64763,"['N3167', 'N16148', 'N50872', 'N40559', 'N64174']",N3167,N16148,N50872,N40559,N64174
U40275,"['N50872', 'N23446', 'N40109', 'N23877', 'N48017']",N50872,N23446,N40109,N23877,N48017
U4597,"['N6477', 'N29212', 'N50872', 'N35815', 'N23446']",N6477,N29212,N50872,N35815,N23446
U57311,"['N33828', 'N61233', 'N1228', 'N47652', 'N42515']",N33828,N61233,N1228,N47652,N42515
U32394,"['N50872', 'N23446', 'N38779', 'N40109', 'N51570']",N50872,N23446,N38779,N40109,N51570
U89508,"['N64174', 'N23877', 'N50872', 'N9623', 'N8015']",N64174,N23877,N50872,N9623,N8015
U58683,"['N34185', 'N19661', 'N62318', 'N38779', 'N52867']",N34185,N19661,N62318,N38779,N52867
U48583,"['N16118', 'N38779', 'N45523', 'N25165', 'N1539']",N16118,N38779,N45523,N25165,N1539
U92858,"['N50872', 'N23446', 'N47098', 'N51570', 'N48017']",N50872,N23446,N47098,N51570,N48017
U75191,"['N50872', 'N23446', 'N49712', 'N40109', 'N55325']",N50872,N23446,N49712,N40109,N55325
U26384,"['N50872', 'N23446', 'N38779', 'N48017', 'N50592']",N50872,N23446,N38779,N48017,N50592
U20206,"['N1228', 'N57032', 'N19661', 'N40109', 'N27737']",N1228,N57032,N19661,N40109,N27737
U20288,"['N23446', 'N50872', 'N40109', 'N51570', 'N38779']",N23446,N50872,N40109,N51570,N38779
U13085,"['N23446', 'N45523', 'N29212', 'N5154', 'N16118']",N23446,N45523,N29212,N5154,N16118
U18570,"['N16118', 'N48487', 'N29735', 'N27737', 'N45523']",N16118,N48487,N29735,N27737,N45523
U93218,"['N19661', 'N62318', 'N38779', 'N34185', 'N50872']",N19661,N62318,N38779,N34185,N50872
U79386,"['N19661', 'N7494', 'N56211', 'N47652', 'N61233']",N19661,N7494,N56211,N47652,N61233
U81060,"['N23877', 'N38779', 'N47098', 'N23446', 'N6477']",N23877,N38779,N47098,N23446,N6477
U85397,"['N56211', 'N41934', 'N27737', 'N14478', 'N61233']",N56211,N41934,N27737,N14478,N61233
U9013,"['N46821', 'N40109', 'N49712', 'N48017', 'N64174']",N46821,N40109,N49712,N48017,N64174
U14690,"['N48487', 'N29735', 'N7494', 'N42515', 'N33828']",N48487,N29735,N7494,N42515,N33828
U57243,"['N23446', 'N38779', 'N29212', 'N6477', 'N40109']",N23446,N38779,N29212,N6477,N40109
U59304,"['N16118', 'N25165', 'N40109', 'N23446', 'N1539']",N16118,N25165,N40109,N23446,N1539
U22142,"['N61740', 'N56211', 'N61233', 'N41934', 'N48487']",N61740,N56211,N61233,N41934,N48487
U5685,"['N6578', 'N50872', 'N29212', 'N38779', 'N6477']",N6578,N50872,N29212,N38779,N6477
U29100,"['N45509', 'N49712', 'N40109', 'N64174', 'N38779']",N45509,N49712,N40109,N64174,N38779
U26728,"['N29212', 'N50872', 'N6477', 'N38779', 'N23446']",N29212,N50872,N6477,N38779,N23446
U75810,"['N56211', 'N61740', 'N61233', 'N41934', 'N48487']",N56211,N61740,N61233,N41934,N48487
U15881,"['N38779', 'N47098', 'N6477', 'N29212', 'N23446']",N38779,N47098,N6477,N29212,N23446
U5264,"['N45523', 'N23446', 'N50872', 'N38779', 'N29212']",N45523,N23446,N50872,N38779,N29212
U19895,"['N48487', 'N56211', 'N61233', 'N61740', 'N41934']",N48487,N56211,N61233,N61740,N41934
U73887,"['N50872', 'N6477', 'N38779', 'N29212', 'N23446']",N50872,N6477,N38779,N29212,N23446
U49829,"['N64174', 'N9623', 'N23877', 'N8015', 'N50872']",N64174,N9623,N23877,N8015,N50872
U48508,"['N38779', 'N48017', 'N51570', 'N23446', 'N23877']",N38779,N48017,N51570,N23446,N23877
U57670,"['N38779', 'N19661', 'N56211', 'N1228', 'N47652']",N38779,N19661,N56211,N1228,N47652
U48872,"['N23877', 'N38779', 'N41387', 'N44698', 'N23446']",N23877,N38779,N41387,N44698,N23446
U79237,"['N19661', 'N38779', 'N34185', 'N23446', 'N62318']",N19661,N38779,N34185,N23446,N62318
U64600,"['N23877', 'N1539', 'N45523', 'N6477', 'N23446']",N23877,N1539,N45523,N6477,N23446
U28753,"['N56211', 'N41934', 'N27737', 'N48487', 'N16118']",N56211,N41934,N27737,N48487,N16118
U9517,"['N38779', 'N50872', 'N34185', 'N35815', 'N40109']",N38779,N50872,N34185,N35815,N40109
U85681,"['N38779', 'N34185', 'N62318', 'N1539', 'N50872']",N38779,N34185,N62318,N1539,N50872
U68558,"['N19661', 'N19536', 'N38779', 'N34185', 'N50872']",N19661,N19536,N38779,N34185,N50872
U21979,"['N38779', 'N23877', 'N51570', 'N50872', 'N23446']",N38779,N23877,N51570,N50872,N23446
U86736,"['N19661', 'N42515', 'N14478', 'N33828', 'N41934']",N19661,N42515,N14478,N33828,N41934
U67137,"['N50872', 'N23446', 'N45523', 'N38779', 'N35815']",N50872,N23446,N45523,N38779,N35815
U3454,"['N6578', 'N38779', 'N29212', 'N6477', 'N23446']",N6578,N38779,N29212,N6477,N23446
U1151,"['N50872', 'N45523', 'N6578', 'N38779', 'N35815']",N50872,N45523,N6578,N38779,N35815
U40772,"['N6477', 'N38779', 'N23446', 'N29212', 'N16118']",N6477,N38779,N23446,N29212,N16118
U77100,"['N61429', 'N40109', 'N23446', 'N29212', 'N16118']",N61429,N40109,N23446,N29212,N16118
U2470,"['N25165', 'N38779', 'N29212', 'N23446', 'N6477']",N25165,N38779,N29212,N23446,N6477
U4416,"['N29212', 'N6477', 'N23446', 'N38779', 'N40109']",N29212,N6477,N23446,N38779,N40109
U5365,"['N51570', 'N23877', 'N38779', 'N23446', 'N50872']",N51570,N23877,N38779,N23446,N50872
U29867,"['N19661', 'N57032', 'N1228', 'N40109', 'N59267']",N19661,N57032,N1228,N40109,N59267
U65420,"['N23446', 'N50872', 'N45523', 'N35815', 'N1539']",N23446,N50872,N45523,N35815,N1539
U63096,"['N53031', 'N47652', 'N56211', 'N42515', 'N61233']",N53031,N47652,N56211,N42515,N61233
U84935,"['N23446', 'N45523', 'N25165', 'N50872', 'N38779']",N23446,N45523,N25165,N50872,N38779
U89158,"['N38779', 'N34185', 'N50872', 'N19661', 'N1539']",N38779,N34185,N50872,N19661,N1539
U77018,"['N38779', 'N23446', 'N48017', 'N23877', 'N40109']",N38779,N23446,N48017,N23877,N40109
U88833,"['N9623', 'N8015', 'N40109', 'N48017', 'N64174']",N9623,N8015,N40109,N48017,N64174
U38917,"['N38779', 'N40109', 'N23877', 'N23446', 'N47098']",N38779,N40109,N23877,N23446,N47098
U47325,"['N23446', 'N38779', 'N23877', 'N48017', 'N51570']",N23446,N38779,N23877,N48017,N51570
U62321,"['N38779', 'N6578', 'N6477', 'N23877', 'N45523']",N38779,N6578,N6477,N23877,N45523
U3869,"['N60750', 'N25639', 'N45523', 'N61233', 'N22975']",N60750,N25639,N45523,N61233,N22975
U47405,"['N23446', 'N50872', 'N38779', 'N47098', 'N51570']",N23446,N50872,N38779,N47098,N51570
U13488,"['N47652', 'N19661', 'N33828', 'N27737', 'N14478']",N47652,N19661,N33828,N27737,N14478
U83552,"['N20270', 'N62318', 'N50872', 'N19661', 'N38779']",N20270,N62318,N50872,N19661,N38779
U45259,"['N6477', 'N23446', 'N38779', 'N23877', 'N47098']",N6477,N23446,N38779,N23877,N47098
U35861,"['N41387', 'N55488', 'N38779', 'N6477', 'N50872']",N41387,N55488,N38779,N6477,N50872
U59110,"['N45523', 'N38779', 'N23446', 'N45734', 'N50872']",N45523,N38779,N23446,N45734,N50872
U18205,"['N23877', 'N48017', 'N40559', 'N40109', 'N8015']",N23877,N48017,N40559,N40109,N8015
U23043,"['N23877', 'N48017', 'N64174', 'N9623', 'N40109']",N23877,N48017,N64174,N9623,N40109
U45974,"['N23446', 'N55325', 'N50872', 'N36226', 'N48017']",N23446,N55325,N50872,N36226,N48017
U18375,"['N9623', 'N23877', 'N48017', 'N40109', 'N64174']",N9623,N23877,N48017,N40109,N64174
U70338,"['N6477', 'N29212', 'N45523', 'N23446', 'N1539']",N6477,N29212,N45523,N23446,N1539
U24990,"['N26537', 'N57032', 'N1228', 'N23089', 'N19661']",N26537,N57032,N1228,N23089,N19661
U69852,"['N33828', 'N14478', 'N19661', 'N41934', 'N61233']",N33828,N14478,N19661,N41934,N61233
U49767,"['N23446', 'N50872', 'N51570', 'N38779', 'N40109']",N23446,N50872,N51570,N38779,N40109
U22614,"['N48487', 'N27737', 'N21484', 'N56211', 'N52867']",N48487,N27737,N21484,N56211,N52867
U60242,"['N23446', 'N40109', 'N6477', 'N23877', 'N38779']",N23446,N40109,N6477,N23877,N38779
U10660,"['N1228', 'N59267', 'N23089', 'N38779', 'N8711']",N1228,N59267,N23089,N38779,N8711
U15133,"['N38779', 'N23877', 'N50872', 'N40109', 'N51570']",N38779,N23877,N50872,N40109,N51570
U92683,"['N6477', 'N23446', 'N47098', 'N23877', 'N38779']",N6477,N23446,N47098,N23877,N38779
U90976,"['N38779', 'N23877', 'N40109', 'N51570', 'N23446']",N38779,N23877,N40109,N51570,N23446
U43635,"['N56211', 'N27737', 'N48487', 'N41934', 'N61740']",N56211,N27737,N48487,N41934,N61740
U46452,"['N23446', 'N45523', 'N6578', 'N29212', 'N40109']",N23446,N45523,N6578,N29212,N40109
U74389,"['N11784', 'N51133', 'N14273', 'N22975', 'N63913']",N11784,N51133,N14273,N22975,N63913
U69594,"['N56211', 'N27737', 'N29735', 'N41934', 'N61233']",N56211,N27737,N29735,N41934,N61233
U27476,"['N23446', 'N51570', 'N38779', 'N23877', 'N50872']",N23446,N51570,N38779,N23877,N50872
U90454,"['N1539', 'N38779', 'N45523', 'N23446', 'N50872']",N1539,N38779,N45523,N23446,N50872
U61999,"['N48487', 'N27737', 'N56211', 'N41934', 'N61233']",N48487,N27737,N56211,N41934,N61233
U27045,"['N38779', 'N19661', 'N57484', 'N62318', 'N57032']",N38779,N19661,N57484,N62318,N57032
U44022,"['N29212', 'N47098', 'N6477', 'N38779', 'N23446']",N29212,N47098,N6477,N38779,N23446
U18947,"['N34185', 'N1539', 'N62318', 'N50872', 'N45523']",N34185,N1539,N62318,N50872,N45523
U51779,"['N38779', 'N6578', 'N23446', 'N1539', 'N45523']",N38779,N6578,N23446,N1539,N45523
U83042,"['N50872', 'N23446', 'N38779', 'N6477', 'N29212']",N50872,N23446,N38779,N6477,N29212
U19701,"['N23446', 'N50872', 'N51570', 'N38779', 'N40109']",N23446,N50872,N51570,N38779,N40109
U73822,"['N56211', 'N9505', 'N47572', 'N55943', 'N5652']",N56211,N9505,N47572,N55943,N5652
U38946,"['N38779', 'N51570', 'N23446', 'N50872', 'N40109']",N38779,N51570,N23446,N50872,N40109
U16582,"['N38779', 'N47098', 'N23446', 'N6477', 'N40109']",N38779,N47098,N23446,N6477,N40109
U47931,"['N40109', 'N23446', 'N38779', 'N23877', 'N6477']",N40109,N23446,N38779,N23877,N6477
U71562,"['N40109', 'N51570', 'N38779', 'N23877', 'N23446']",N40109,N51570,N38779,N23877,N23446
U92107,"['N23877', 'N48017', 'N38779', 'N51570', 'N55325']",N23877,N48017,N38779,N51570,N55325
U63529,"['N62318', 'N1539', 'N38779', 'N6578', 'N45523']",N62318,N1539,N38779,N6578,N45523
U26445,"['N19661', 'N33828', 'N27737', 'N59267', 'N56211']",N19661,N33828,N27737,N59267,N56211
U30644,"['N38779', 'N6477', 'N40109', 'N23877', 'N50872']",N38779,N6477,N40109,N23877,N50872
U45241,"['N45523', 'N23446', 'N1539', 'N29212', 'N25165']",N45523,N23446,N1539,N29212,N25165
U62140,"['N19661', 'N61233', 'N33828', 'N1228', 'N42515']",N19661,N61233,N33828,N1228,N42515
U22835,"['N62318', 'N1539', 'N23446', 'N45523', 'N6578']",N62318,N1539,N23446,N45523,N6578
U65125,"['N23446', 'N6477', 'N38779', 'N23877', 'N47098']",N23446,N6477,N38779,N23877,N47098
U52149,"['N23446', 'N40109', 'N23877', 'N50872', 'N47098']",N23446,N40109,N23877,N50872,N47098
U20245,"['N19661', 'N38779', 'N34185', 'N1539', 'N62318']",N19661,N38779,N34185,N1539,N62318
U6467,"['N27737', 'N38779', 'N19661', 'N59267', 'N57032']",N27737,N38779,N19661,N59267,N57032
U29418,"['N16439', 'N14809', 'N59142', 'N4034', 'N29369']",N16439,N14809,N59142,N4034,N29369
U2903,"['N61740', 'N56211', 'N48487', 'N41934', 'N27737']",N61740,N56211,N48487,N41934,N27737
U70871,"['N41934', 'N56211', 'N52867', 'N14478', 'N27737']",N41934,N56211,N52867,N14478,N27737
U63167,"['N27737', 'N48487', 'N41934', 'N52867', 'N56211']",N27737,N48487,N41934,N52867,N56211
U25666,"['N45523', 'N56211', 'N27737', 'N52867', 'N33828']",N45523,N56211,N27737,N52867,N33828
U62249,"['N50872', 'N23877', 'N40109', 'N6477', 'N38779']",N50872,N23877,N40109,N6477,N38779
U37369,"['N23446', 'N23877', 'N50872', 'N38779', 'N6477']",N23446,N23877,N50872,N38779,N6477
U47632,"['N19661', 'N57032', 'N1952', 'N1228', 'N50872']",N19661,N57032,N1952,N1228,N50872
U6871,"['N14478', 'N33828', 'N53031', 'N47652', 'N27737']",N14478,N33828,N53031,N47652,N27737
U54018,"['N64174', 'N8015', 'N40559', 'N23877', 'N40109']",N64174,N8015,N40559,N23877,N40109
U71229,"['N56211', 'N47652', 'N27737', 'N61233', 'N19661']",N56211,N47652,N27737,N61233,N19661
U6439,"['N38779', 'N23877', 'N23446', 'N48017', 'N49712']",N38779,N23877,N23446,N48017,N49712
U30529,"['N23446', 'N1539', 'N45523', 'N29212', 'N6578']",N23446,N1539,N45523,N29212,N6578
U33874,"['N38779', 'N51570', 'N23877', 'N50872', 'N23446']",N38779,N51570,N23877,N50872,N23446
U34332,"['N38779', 'N19661', 'N34185', 'N3243', 'N23446']",N38779,N19661,N34185,N3243,N23446
U51964,"['N50872', 'N23446', 'N45523', 'N29212', 'N38779']",N50872,N23446,N45523,N29212,N38779
U9044,"['N38779', 'N23877', 'N23446', 'N50872', 'N40109']",N38779,N23877,N23446,N50872,N40109
U54483,"['N23446', 'N45523', 'N50872', 'N34185', 'N62318']",N23446,N45523,N50872,N34185,N62318
U15967,"['N19661', 'N42515', 'N53031', 'N33828', 'N14478']",N19661,N42515,N53031,N33828,N14478
U2703,"['N40109', 'N47652', 'N35815', 'N5695', 'N63060']",N40109,N47652,N35815,N5695,N63060
U23947,"['N50872', 'N38779', 'N23446', 'N40109', 'N23877']",N50872,N38779,N23446,N40109,N23877
U42357,"['N50872', 'N23446', 'N38779', 'N40109', 'N23877']",N50872,N23446,N38779,N40109,N23877
U88456,"['N6477', 'N38779', 'N23877', 'N50872', 'N23446']",N6477,N38779,N23877,N50872,N23446
U49879,"['N38779', 'N23446', 'N47098', 'N40109', 'N50872']",N38779,N23446,N47098,N40109,N50872
U91810,"['N50872', 'N48017', 'N55325', 'N23446', 'N38779']",N50872,N48017,N55325,N23446,N38779
U73382,"['N45523', 'N23446', 'N38779', 'N25165', 'N6578']",N45523,N23446,N38779,N25165,N6578
U24603,"['N38779', 'N23446', 'N46821', 'N50872', 'N47098']",N38779,N23446,N46821,N50872,N47098
U34442,"['N27737', 'N56211', 'N61740', 'N48487', 'N52867']",N27737,N56211,N61740,N48487,N52867
U67401,"['N23446', 'N46821', 'N49712', 'N45509', 'N50592']",N23446,N46821,N49712,N45509,N50592
U26455,"['N48238', 'N55555', 'N59495', 'N6390', 'N50872']",N48238,N55555,N59495,N6390,N50872
