user_id,preds,pred_1,pred_2,pred_3,pred_4,pred_5
U9556,"['N35729', 'N61214', 'N27581', 'N55689', 'N63538']",N35729,N61214,N27581,N55689,N63538
U54692,"['N38779', 'N23877', 'N6477', 'N50872', 'N47098']",N38779,N23877,N6477,N50872,N47098
U79175,"['N39115', 'N5957', 'N51398', 'N60374', 'N23760']",N39115,N5957,N51398,N60374,N23760
U25001,"['N261', 'N305', 'N33261', 'N27560', 'N20678']",N261,N305,N33261,N27560,N20678
U54278,"['N36789', 'N62360', 'N14184', 'N50675', 'N32544']",N36789,N62360,N14184,N50675,N32544
U36792,"['N54381', 'N2350', 'N54489', 'N60612', 'N16920']",N54381,N2350,N54489,N60612,N16920
U69262,"['N62360', 'N6458', 'N63970', 'N40839', 'N32182']",N62360,N6458,N63970,N40839,N32182
U26559,"['N35729', 'N61214', 'N55689', 'N32437', 'N57090']",N35729,N61214,N55689,N32437,N57090
U43965,"['N35729', 'N21707', 'N53585', 'N52622', 'N59981']",N35729,N21707,N53585,N52622,N59981
U88719,"['N62360', 'N33619', 'N50675', 'N24111', 'N41020']",N62360,N33619,N50675,N24111,N41020
U63623,"['N35170', 'N42977', 'N45266', 'N20076', 'N60992']",N35170,N42977,N45266,N20076,N60992
U36081,"['N20069', 'N62360', 'N33619', 'N41020', 'N7319']",N20069,N62360,N33619,N41020,N7319
U6798,"['N48046', 'N52122', 'N50675', 'N62360', 'N35729']",N48046,N52122,N50675,N62360,N35729
U89568,"['N45704', 'N39317', 'N20495', 'N42977', 'N7821']",N45704,N39317,N20495,N42977,N7821
U26916,"['N41354', 'N31947', 'N16489', 'N33619', 'N39317']",N41354,N31947,N16489,N33619,N39317
U85681,"['N35729', 'N38779', 'N21707', 'N1539', 'N59981']",N35729,N38779,N21707,N1539,N59981
U16560,"['N21707', 'N53585', 'N52622', 'N59981', 'N55689']",N21707,N53585,N52622,N59981,N55689
U30181,"['N39115', 'N5957', 'N51398', 'N41178', 'N25764']",N39115,N5957,N51398,N41178,N25764
U16191,"['N33619', 'N50675', 'N62360', 'N41020', 'N646']",N33619,N50675,N62360,N41020,N646
U73811,"['N38779', 'N23877', 'N49712', 'N48017', 'N50872']",N38779,N23877,N49712,N48017,N50872
U93463,"['N42143', 'N36184', 'N53886', 'N12377', 'N17072']",N42143,N36184,N53886,N12377,N17072
U33965,"['N21882', 'N61022', 'N26706', 'N53245', 'N14520']",N21882,N61022,N26706,N53245,N14520
